ProductKey,ProductName,ProductSubcategoryKey,ProductPrice,ProductCost
1,Mountain-200 Black 38,1,2385.07,1912.15
2,Mountain-200 Silver 42,1,2319.99,1853.09
3,Road-150 Red 62,2,3578.27,2454.99
4,Road-650 Black 52,2,782.99,419.46
5,Touring-1000 Blue 60,3,2384.07,1545.0
6,Touring-3000 Yellow 54,3,742.35,461.79
7,Sport-100 Helmet Blue,4,34.99,13.09
8,Sport-100 Helmet Red,4,34.99,13.09
9,LL Mountain Tire,5,24.99,8.07
10,HL Road Tire,5,32.6,10.25
11,Classic Vest S,6,63.5,21.25
12,Long-Sleeve Logo Jersey XL,6,53.99,14.92
13,Men's Sports Shorts S,7,59.99,19.46
14,Women's Mountain Shorts S,7,69.99,22.78
15,HL Mountain Frame Silver 42,8,1364.5,847.0
16,LL Road Frame Black 52,8,337.22,188.62
17,Touring Rear Wheel,9,236.02,100.35
18,ML Road Front Wheel,9,202.32,88.45
19,Mountain-300 Black 38,1,1079.99,722.83
20,Road-250 Black 58,2,2443.35,1574.98
