OrderDate,OrderNumber,CustomerKey,ProductKey,TerritoryKey,OrderQuantity,UnitPrice
2020-01-01,SO01437,714,14,6,4,71.05
2020-01-01,SO01781,192,11,4,1,62.56
2020-01-01,SO02604,941,9,6,3,24.32
2020-01-01,SO02822,434,3,10,1,3634.34
2020-01-01,SO06309,290,18,3,1,196.55
2020-01-01,SO06791,367,16,1,1,338.75
2020-01-01,SO06862,70,4,3,1,768.7
2020-01-01,SO06964,951,11,4,1,62.18
2020-01-01,SO07259,230,5,5,4,2379.94
2020-01-01,SO07585,29,19,7,2,1070.51
2020-01-01,SO08578,712,14,1,1,70.01
2020-01-01,SO12547,556,20,10,1,2377.28
2020-01-01,SO12973,658,3,3,1,3660.15
2020-01-01,SO14360,753,19,1,5,1088.45
2020-01-02,SO00908,488,10,8,4,32.12
2020-01-02,SO01307,168,3,1,1,3574.55
2020-01-02,SO02553,880,17,9,1,240.5
2020-01-02,SO03108,618,14,7,2,68.1
2020-01-02,SO03195,111,3,6,1,3494.48
2020-01-02,SO03281,299,15,10,2,1389.75
2020-01-02,SO03865,447,15,2,1,1347.24
2020-01-02,SO04154,693,2,8,1,2265.16
2020-01-02,SO05093,939,11,8,3,62.41
2020-01-02,SO05550,190,13,6,1,60.28
2020-01-02,SO05668,114,15,3,4,1370.69
2020-01-02,SO05842,224,6,8,1,744.55
2020-01-02,SO06719,302,9,8,1,25.72
2020-01-02,SO07115,341,6,3,2,736.51
2020-01-02,SO07741,350,17,9,1,238.0
2020-01-02,SO11723,336,13,7,2,60.9
2020-01-02,SO12582,370,17,3,3,231.49
2020-01-02,SO13466,407,9,7,1,25.32
2020-01-02,SO14541,163,17,1,4,238.75
2020-01-03,SO00479,895,16,4,1,328.02
2020-01-03,SO02747,355,12,9,2,54.73
2020-01-03,SO03930,763,19,5,3,1099.86
2020-01-03,SO05791,935,16,8,1,345.22
2020-01-03,SO06301,624,18,8,4,200.91
2020-01-03,SO06476,402,6,6,1,736.94
2020-01-03,SO06994,348,4,9,1,796.16
2020-01-03,SO08656,581,3,2,1,3520.52
2020-01-03,SO11082,657,7,7,3,35.37
2020-01-03,SO11307,484,17,2,1,239.69
2020-01-03,SO12060,800,7,8,2,35.62
2020-01-03,SO13359,21,4,8,1,765.75
2020-01-03,SO13795,118,18,8,3,208.17
2020-01-03,SO14151,788,17,5,2,238.52
2020-01-04,SO00185,64,10,10,2,33.28
2020-01-04,SO03610,540,4,4,1,777.05
2020-01-04,SO03878,115,18,5,1,203.93
2020-01-04,SO05441,901,10,1,3,33.01
2020-01-04,SO06571,911,18,9,3,202.55
2020-01-04,SO07307,439,12,9,2,52.78
